scope,partition,test_type,pvim_item,status,owner,model
Stack Level,d2d1,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: iJTAG reset / network collapse,MISSING,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_reset,[NWP] TAP: check reset (default) register values,FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_user_defined,[NWP] TAP: IDCODE all taps in the partition,MISSING,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_rw_access,[NWP] TAP: rw to all RTDR/TDR,FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: ijtag reset does not perturb TDRs,MISSING,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: treset - verify no TDRs perturbed by TRESET,MISSING,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_rw_access,[NWP] TAP: iJTAG R/W,FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_continuity,[NWP] TAP: IJTAG icl continuity tests of entire network,FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_continuity,"[NWP] TAP: pause-dr, exit, pause-ir",FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,ijtag_basic_tap_tests_continuity,[NWP] TAP: chain connectivity all RTDR and TDRs,FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Stack Level,d2d1,icl_verify_dft,[NWP] TAP: icl_verify,PASS,Sebastian Porras,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: iJTAG reset / network collapse,MISSING,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_reset,[NWP] TAP: check reset (default) register values,PASS,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_user_defined,[NWP] TAP: IDCODE all taps in the partition,MISSING,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_rw_access,[NWP] TAP: rw to all RTDR/TDR,PASS,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: ijtag reset does not perturb TDRs,MISSING,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: treset - verify no TDRs perturbed by TRESET,MISSING,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_rw_access,[NWP] TAP: iJTAG R/W,PASS,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_continuity,[NWP] TAP: IJTAG icl continuity tests of entire network,PASS,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_continuity,"[NWP] TAP: pause-dr, exit, pause-ir",PASS,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,ijtag_basic_tap_tests_continuity,[NWP] TAP: chain connectivity all RTDR and TDRs,PASS,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1chnl,icl_verify_dft,[NWP] TAP: icl_verify,PASS,Natalia Abarca,nio_d2d-a0-26ww28a
Partition Level,pard2d1misc,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: iJTAG reset / network collapse,MISSING,Sebastian Porras,nio_d2d-a0-26ww28a
Partition Level,pard2d1misc,ijtag_basic_tap_tests_reset,[NWP] TAP: check reset (default) register values,FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Partition Level,pard2d1misc,ijtag_basic_tap_tests_user_defined,[NWP] TAP: IDCODE all taps in the partition,MISSING,Sebastian Porras,nio_d2d-a0-26ww28a
Partition Level,pard2d1misc,ijtag_basic_tap_tests_rw_access,[NWP] TAP: rw to all RTDR/TDR,FAIL,Sebastian Porras,nio_d2d-a0-26ww28a
Partition Level,pard2d1misc,ijtag_basic_tap_tests_tlr_reset,[NWP] TAP: ijtag reset does not perturb TDRs,MISSING,Sebastian Porras,nio_d2d-a0-26ww28a
